"","no.","image","verifications","description","Valence.ratings"
"2871",487,"Rock.climbing.2","Lie","There is a view of a right blue lake surrounded but large grey mountains. The sky is blue with many clouds. At the top of the mountains in the background, there is bright white snow.","Somewhat Positive"
"2872",401,"Wedding.3","Tell the truth ","A wedding ring being placed on a mans finger.","Somewhat Positive"
"2873",402,"Wedding.3","Lie","Golem trying to steal the one ring to rule them all back from Frodo","Moderately Positive"
"2874",403,"Wedding.3","Tell the truth ","Stock image of a marriage","Very Positive"
"2875",404,"Wedding.3","Tell the truth ","Someone placing a wedding ring on another person finger","Neutral"
"2876",405,"Wedding.3","Tell the truth ","The beginning of the end in pictorial form","Neutral"
"2877",406,"Wedding.3","Lie"," a divorce","Moderately Positive"
"2878",407,"Wedding.3","Lie","This is a picture of a book. It is red with gold writing on it and looks old.","Moderately Positive"
"2879",408,"Wedding.3","Tell the truth ","Wedding day","Moderately Positive"
"2880",409,"Wedding.3","Tell the truth ","This is an image of a couple exchanging rings during a wedding. The bride is wearing a silver bracelet on her left wrist","Very Positive"
"2881",410,"Wedding.3","Tell the truth ","Woman placing a wedding ring on a man. The woman is wearing a bracelet ","Neutral"
"2882",411,"Wedding.3","Tell the truth ","It looks like a wedding. The woman is putting a ring on the mans finger. ","Somewhat Positive"
"2883",412,"Wedding.3","Lie","A massive 40th birthday party","Neutral"
"2884",413,"Wedding.3","Tell the truth ","exchange of rings during a wedding ceremony ","Somewhat Positive"
"2885",414,"Wedding.3","Tell the truth ","a man and woman placing their rings on each others fingers as they get married ","Very Positive"
"2886",415,"Wedding.3","Lie","This is a picture of a shoe. It is blue and white with black laces. The laces are tied. There is a bit of dirt on the edges.","Very Positive"
"2887",416,"Wedding.3","Tell the truth ","A hand pushes a ring onto another person's finger. The ring matches the one on the hand. The body in the background wears a black suit with a white shirt cuff noticeable.","Somewhat Positive"
"2888",417,"Wedding.3","Tell the truth ","A woman is placing a wedding ring on her groom's finger. On the woman's left hand is a dainty silver bracelet. The man is wearing a white shirt with a black suit. The woman has a golden ring on her right hand.","Very Positive"
"2889",418,"Wedding.3","Tell the truth ","A close-up on a man and woman's hands. The woman is placing a wedding ring on the man's finger. She is also wearing a similar ring on her right hand, and a bracelet on her left wrist. The image is quite blurry.","Somewhat Negative"
"2890",419,"Wedding.3","Tell the truth ","someone placing a ring on someones finger, perhaps during a marriage ceremony","Somewhat Positive"
"2891",420,"Wedding.3","Lie","There is a couple in the midst of an argument","Moderately Positive"
"2892",421,"Wedding.3","Tell the truth ","it's the ring exchange at a wedding. the bride is has her ring on and is placing a ring on the groom's finger. you can see the cuff of his suit and her pearl bracelet","Somewhat Positive"
"2893",422,"Wedding.3","Tell the truth ","The ere are two pairs of hands in the image, One of them is putting a ring on the other's ring finger. They are likely getting married. The man appears to be wearing a black suit and a white shirt. The women is already wearing a ring and also a bracelet.","Moderately Positive"
"2894",423,"Wedding.3","Tell the truth ","the giving of rings with someone placing a ring onto the other persons finger","Somewhat Positive"
"2895",424,"Wedding.3","Tell the truth ","This is a close up photo of a man and woman exchanging ringing during their wedding ","Neutral"
"2896",425,"Wedding.3","Lie","The picture shows a woman removing the engagement ring of his husband's finger as a visual representation of their divorce.","Neutral"
"2897",426,"Wedding.3","Lie","A ring is being placed on a finger, the hand is made of plastic and is attached to a mannequins of a dog ","Moderately Positive"
"2898",427,"Wedding.3","Tell the truth ","There is a ring exchange ceremony at a marriage. Close up on two hands with the woman putting the ring on the mans hand","Neutral"
"2899",428,"Wedding.3","Lie","Beyonce on a stage performing a song in front of a very large crowd","Neutral"
"2900",429,"Wedding.3","Tell the truth ","a pair of woman's hands sliding a wedding ring ontop of a man's finger. The man has a white shirt sleeve collar and a black suit ontop. The woman has a white braclet with pearls. the woman has the ring alright on her finger and both rings are gold ","Somewhat Positive"
"2901",430,"Wedding.3","Tell the truth ","A woman is putting the wedding ring in a man's finger.","Very Positive"
"2902",431,"Wedding.3","Tell the truth ","A woman putting a wedding ring onto her husbands finger ","Very Positive"
"2903",432,"Wedding.3","Tell the truth ","A womens hands placing a ring onto a males finger, presumably getting married. The women has a silver bracelet on. ","Somewhat Positive"
"2904",433,"Wedding.3","Lie","I can see someone putting a ring on another persons finger. They both have their nails painted a red colour and the ring is being placed on the pinky finger.","Somewhat Positive"
"2905",434,"Wedding.3","Tell the truth ","A woman is sliding on a wider than average wedding ring onto her new husbands finer.The ring matches hers. She has a thin simple silver braclet on one wrist and he is wearing a whits suit shirt without cufflinks as the end of the sleeve is open.","Very Positive"
"2906",435,"Wedding.3","Tell the truth ","The image is a close up of a mans hand. The woman is putting a wedding ring on the mans finger. She is wearing a ring and a bracelet. ","Moderately Positive"
"2907",436,"Wedding.3","Lie","There is a picture of tropical fish in clear ocean water. There are 3 fish, one yellow and two blue and the water is a light turquoise colour.","Somewhat Negative"
"2908",437,"Wedding.3","Tell the truth ","Image which clearly shows the hands  two individuals getting married. the person to the right can be seen pushing a silver wedding band onto the other. ","Somewhat Positive"
"2909",438,"Wedding.3","Tell the truth ","The bride wearing a white bracelet is putting a wedding ring into the groom's finger.","Somewhat Positive"
"2910",439,"Wedding.3","Lie","A picture of a black hole with light and space rocks flying into it. And also a man in some kind of space suit flying towards it. (might be from interstellar)","Neutral"
"2911",440,"Wedding.3","Tell the truth ","There is a couple who are getting married, one is in a tuxedo and is getting the ring on their finger, The other has a silver braclet and is putting the ring on the others finger","Moderately Positive"
"2912",441,"Wedding.3","Tell the truth ","Exchanging rings, due to marriage,","Somewhat Positive"
"2913",442,"Wedding.3","Tell the truth ","A picture of a couple's hands who are getting married. The bride is placing a wedding band onto her husband's wedding finger. The edge of the sleeve of his suit can be seen in the picture as well as a dainty silver bracelet on the bride's wrist.","Somewhat Positive"
"2914",443,"Wedding.3","Tell the truth ","There are two hands of people getting married. The woman is putting a ring on the mans finger. The woman is wearing a sliver bracelet.","Moderately Positive"
"2915",444,"Wedding.3","Tell the truth ","There are two people. One of the people is already wearing a ring and a bracelet and is placing a ring on the other person. The rings are silver and one of then hands nails are painted with a french manicure","Somewhat Positive"
"2916",445,"Wedding.3","Lie","Its snowing lightly. There's a truck stuck in the snow so it must have been snowing heavily earlier. ","Somewhat Positive"
"2917",446,"Wedding.3","Tell the truth ","The image shows the hands of two people. One of the hands is putting a ring on a second hand, while the third hand in holding the finger of the second hand. The first hand also has a ring. We can't see the fourth hand. The background is blurred and black. ","Very Positive"
"2918",447,"Wedding.3","Tell the truth ","There is wedding. The bride is putting on a wedding ring on the left hand of the groom. The groom is wearing a black suit with a white shirt. The bride is wearing a bracelet.","Somewhat Positive"
"2919",448,"Wedding.3","Lie","a proposal gone wrong","Very Positive"
"2920",449,"Wedding.3","Tell the truth ","A women wearing a bracelet putting a wedding ring onto the mans ring finger. ","Very Positive"
"2921",450,"Wedding.3","Tell the truth ","It is a photo of a couple exchanging rings as they are being married. The bride seems to be placing the wedding ring on the grooms finger. The bride also wears a silver chain bracelet. ","Moderately Positive"
"2922",451,"Wedding.3","Tell the truth ","One person is putting a ring on the fourth finger of the other person. The person who puts the ring on has already worn the same ring. One person has a bracelet on wrist.","Moderately Positive"
